latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
40.89311,-77.7155,302.25,0.42,0.61,2026-08-29,0620,N20,nominal,2.0NRT,283.92,1.51,N
18.06787,-71.58031,305.55,0.39,0.36,2026-08-29,0625,N20,nominal,2.0NRT,293.15,1.14,N
18.16831,-76.7055,302.29,0.42,0.45,2026-08-29,0625,N20,nominal,2.0NRT,291.57,0.9,N
40.89289,-77.71039,315.63,0.42,0.61,2026-08-29,0620,N20,nominal,2.0NRT,286.76,1.51,N
40.71403,-75.39915,297.39,0.32,0.54,2026-08-29,0620,N20,nominal,2.0NRT,287.15,0.4,N
40.63662,-74.22365,307.72,0.55,0.51,2026-08-29,0620,N20,nominal,2.0NRT,292.58,2.2,N
40.63534,-74.22188,304.97,0.55,0.51,2026-08-29,0620,N20,nominal,2.0NRT,292.17,2.39,N
40.71499,-75.39945,305.61,0.32,0.54,2026-08-29,0620,N20,nominal,2.0NRT,287.97,0.9,N
40.5919,-74.21444,299.45,0.55,0.51,2026-08-29,0620,N20,nominal,2.0NRT,289.19,0.85,N
40.83271,-80.32078,304.54,0.58,0.7,2026-08-29,0620,N20,nominal,2.0NRT,284.9,1.33,N
40.83252,-80.32142,306.69,0.58,0.7,2026-08-29,0620,N20,nominal,2.0NRT,284.79,1.21,N
40.48419,-74.32243,304.43,0.56,0.51,2026-08-29,0620,N20,nominal,2.0NRT,288.37,1.04,N
40.75829,-81.43945,298.25,0.67,0.73,2026-08-29,0620,N20,nominal,2.0NRT,285.39,0.94,N
40.75748,-81.44483,297.44,0.67,0.73,2026-08-29,0620,N20,nominal,2.0NRT,285.01,1.05,N
40.75736,-81.43674,299.7,0.67,0.73,2026-08-29,0620,N20,nominal,2.0NRT,285.25,1.05,N
40.39447,-79.85841,320.16,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,288.46,1.99,N
40.39431,-79.85157,304.1,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,286.02,1.99,N
40.39802,-79.86208,302.54,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,286.51,1.09,N
